Year,Month,Day,Closing_price
1997,9,9,633
1997,9,8,627.35
1997,9,5,616.61
1997,9,4,621.51
1997,9,3,622.6
1997,9,2,630.3
1997,9,1,615.42
1997,8,29,605.17
1997,8,28,611.82
1997,8,27,619.01
1997,8,26,619.4
1997,8,25,624.66
1997,8,22,629.15
1997,8,21,645.14
1997,8,20,653.14
1997,8,19,647.99
1997,8,18,635.19
1997,8,15,638.31
1997,8,14,651.1
1997,8,13,651.16
1997,8,12,667.66
1997,8,11,664.35
1997,8,8,661.15
1997,8,7,673.14
1997,8,6,663.03
1997,8,5,649.37
1997,8,4,644
1997,8,1,647.52
1997,7,31,647.06
1997,7,30,657.14
1997,7,29,645.68
1997,7,28,650.49
1997,7,25,652.32
1997,7,24,649.84
1997,7,23,651.28
1997,7,22,645.24
1997,7,21,631.4
1997,7,18,637.72
1997,7,17,648.87
1997,7,16,655.67
1997,7,15,644.38
1997,7,14,647.95
1997,7,11,640.81
1997,7,10,631.29
1997,7,9,639.8
1997,7,8,634.65
1997,7,7,632.33
1997,7,4,622.09
1997,7,3,616.8
1997,7,2,607.57
1997,7,1,605.5
1997,6,30,601.84
1997,6,27,606.47
1997,6,26,603.77
1997,6,25,602.12
1997,6,24,593.16
1997,6,23,589.85
1997,6,19,584.61
1997,6,18,577.68
1997,6,17,581.61
1997,6,16,584.89
1997,6,13,582.61
1997,6,12,576.79
1997,6,11,575.21
1997,6,10,575.11
1997,6,9,571.07
1997,6,6,571.31
1997,6,5,564.86
1997,6,4,565.79
1997,6,3,565.37
1997,6,2,561.96
1997,5,30,553.95
1997,5,29,557.95
1997,5,28,563.63
1997,5,27,566.37
1997,5,26,573.03
1997,5,23,570.13
1997,5,22,561.87
1997,5,21,561.73
1997,5,20,553.69
1997,5,16,551.44
1997,5,15,553.06
1997,5,14,547.02
1997,5,13,544.57
1997,5,12,543.86
1997,5,9,542.5
1997,5,7,541.68
1997,5,6,540.77
1997,5,5,540.95
1997,5,2,530.29
1997,4,30,520.43
1997,4,29,516.12
1997,4,28,505.51
1997,4,25,512.4
1997,4,24,518.37
1997,4,23,510.77
1997,4,22,514.1
1997,4,21,518.21
1997,4,18,523.31
1997,4,17,525.81
1997,4,16,526.57
1997,4,15,527.61
1997,4,14,513.89
1997,4,11,520.36
1997,4,10,524.4
1997,4,9,520.96
1997,4,8,525.62
1997,4,7,530.46
1997,4,4,516.59
1997,4,3,517.17
1997,4,2,514.44
1997,4,1,521.44
1997,3,27,546.02
1997,3,26,541.34
1997,3,25,536.04
1997,3,24,525.46
1997,3,21,525.28
1997,3,20,517.54
1997,3,19,526.82
1997,3,18,529.97
1997,3,17,540.07
1997,3,14,547.7
1997,3,13,546.24
1997,3,12,547
1997,3,11,551.71
1997,3,10,555.23
1997,3,7,550.46
1997,3,6,543.93
1997,3,5,536.27
1997,3,4,532.35
1997,3,3,523.05
1997,2,28,520.77
1997,2,27,525.2
1997,2,26,524.67
1997,2,25,525.43
1997,2,24,520.02
1997,2,21,520.9
1997,2,20,520.57
1997,2,19,524.9
1997,2,18,522.32
1997,2,17,522.46
1997,2,14,515.58
1997,2,13,517.02
1997,2,12,515.18
1997,2,11,514.84
1997,2,10,515.82
1997,2,7,508.71
1997,2,6,503.23
1997,2,5,503.18
1997,2,4,497.96
1997,2,3,499.61
1997,1,31,502.59
1997,1,30,495.12
1997,1,29,492.37
1997,1,28,500.22
1997,1,27,494.1
1997,1,24,496.11
1997,1,23,501.28
1997,1,22,494.59
1997,1,21,488.58
1997,1,20,487.3
1997,1,17,488.36
1997,1,16,487.55
1997,1,15,486.16
1997,1,14,488.21
1997,1,13,483.03
1997,1,10,473.84
1997,1,9,480.88
1997,1,8,480.14
1997,1,7,470.14
1997,1,3,469.2
1997,1,2,462.85
1996,12,30,469.29
1996,12,27,463.58
1996,12,23,459.36
1996,12,20,459.88
1996,12,19,456.82
1996,12,18,452.87
1996,12,17,444.45
1996,12,16,452.17
1996,12,13,447.11
1996,12,12,451.64
1996,12,11,451.1
1996,12,10,460.13
1996,12,9,458.29
1996,12,6,452.78
1996,12,5,460.13
1996,12,4,456.14
1996,12,3,460.99
1996,12,2,452.36
1996,11,29,451.84
1996,11,28,447.11
1996,11,27,439.84
1996,11,26,445.31
1996,11,25,449.97
1996,11,22,446.95
1996,11,21,439.5
1996,11,20,435.82
1996,11,19,437.09
1996,11,18,437.84
1996,11,15,439.84
1996,11,14,433.29
1996,11,13,424.41
1996,11,12,423.36
1996,11,11,420.28
1996,11,8,420.62
1996,11,7,421.61
1996,11,6,423.2
1996,11,5,421.95
1996,11,4,418.31
1996,11,1,417.85
1996,10,31,416.46
1996,10,30,414.34
1996,10,29,418.53
1996,10,28,427.89
1996,10,25,425.08
1996,10,24,421.87
1996,10,23,421.67
1996,10,22,426.12
1996,10,21,426.96
1996,10,18,425.96
1996,10,17,420.97
1996,10,16,419.51
1996,10,15,422.62
1996,10,14,418.28
1996,10,11,417.12
1996,10,10,418.3
1996,10,9,417.16
1996,10,8,421.07
1996,10,7,416.78
1996,10,4,414.39
1996,10,3,409.88
1996,10,2,408.2
1996,10,1,410.08
1996,9,30,404.58
1996,9,27,403.95
1996,9,26,402.66
1996,9,25,399.04
1996,9,24,399.34
1996,9,23,393.96
1996,9,20,398.97
1996,9,19,396.81
1996,9,18,397.07
1996,9,17,399.84
1996,9,16,402.66
1996,9,13,403.31
1996,9,12,397.41
1996,9,11,394.74
1996,9,10,395.59
1996,9,9,395.59
1996,9,6,392.05
1996,9,5,389.89
1996,9,4,387.9
1996,9,3,385.03
1996,9,2,388.18
1996,8,30,388.18
1996,8,29,390.98
1996,8,28,390.96
1996,8,27,390.86
1996,8,26,387.19
1996,8,23,386.98
1996,8,22,388.08
1996,8,21,382.77
1996,8,20,383
1996,8,19,379.25
1996,8,16,381.79
1996,8,15,382.67
1996,8,14,382.52
1996,8,13,381.37
1996,8,12,380.11
1996,8,9,379.46
1996,8,8,378.72
1996,8,7,377.44
1996,8,6,373.36
1996,8,5,375.93
1996,8,2,374.94
1996,8,1,366.85
1996,7,31,365.12
1996,7,30,360.87
1996,7,29,360.67
1996,7,26,358.75
1996,7,25,358.13
1996,7,24,352.77
1996,7,23,361.38
1996,7,22,363.18
1996,7,19,368.9
1996,7,18,366.31
1996,7,17,366.84
1996,7,16,366.88
1996,7,15,373.69
1996,7,12,373.17
1996,7,11,374.64
1996,7,10,378.82
1996,7,9,382.16
1996,7,8,379.56
1996,7,5,379.28
1996,7,4,384.26
1996,7,3,385.6
1996,7,2,387.27
1996,7,1,387.2
1996,6,28,384.95
1996,6,27,380.41
1996,6,26,383.47
1996,6,25,384.32
1996,6,24,387.65
1996,6,20,386.2
1996,6,19,384.2
1996,6,18,384.22
1996,6,17,383.39
1996,6,14,384.08
1996,6,13,386.34
1996,6,12,387.85
1996,6,11,394.05
1996,6,10,395.06
1996,6,7,389.42
1996,6,6,396.17
1996,6,5,393.9
1996,6,4,393.14
1996,6,3,386.44
1996,5,31,386.34
1996,5,30,382.67
1996,5,29,386.59
1996,5,28,389.38
1996,5,24,389.74
1996,5,23,392.82
1996,5,22,390.81
1996,5,21,390.13
1996,5,20,392.47
1996,5,17,387.33
1996,5,15,384.17
1996,5,14,383.89
1996,5,13,380.83
1996,5,10,382.36
1996,5,9,378.55
1996,5,8,379.03
1996,5,7,381.01
1996,5,6,384.67
1996,5,3,380.4
1996,5,2,381.09
1996,4,30,376.81
1996,4,29,376.17
1996,4,26,379.33
1996,4,25,377.86
1996,4,24,378.53
1996,4,23,379.98
1996,4,22,381.73
1996,4,19,375.55
1996,4,18,370.12
1996,4,17,367.26
1996,4,16,367.65
1996,4,15,370.73
1996,4,12,366.61
1996,4,11,368.53
1996,4,10,365.37
1996,4,9,365.75
1996,4,4,364.89
1996,4,3,365.69
1996,4,2,368.33
1996,4,1,369.7
1996,3,29,374.12
1996,3,28,376.03
1996,3,27,379.7
1996,3,26,376.49
1996,3,25,380.72
1996,3,22,377.71
1996,3,21,374.97
1996,3,20,379.32
1996,3,19,381.01
1996,3,18,376.9
1996,3,15,369.09
1996,3,14,371.08
1996,3,13,368.1
1996,3,12,365.55
1996,3,11,361.68
1996,3,8,360.9
1996,3,7,368.33
1996,3,6,369.14
1996,3,5,370.7
1996,3,4,375.16
1996,3,1,372.05
1996,2,29,368.95
1996,2,28,374.41
1996,2,27,371.35
1996,2,26,367.99
1996,2,23,370.23
1996,2,22,364.18
1996,2,21,353.6
1996,2,20,346.87
1996,2,19,350.62
1996,2,16,350.47
1996,2,15,354.72
1996,2,14,356.36
1996,2,13,358.39
1996,2,12,357.84
1996,2,9,355.2
1996,2,8,350.68
1996,2,7,352.33
1996,2,6,349.61
1996,2,5,346.54
1996,2,2,350.42
1996,2,1,346.77
1996,1,31,343.82
1996,1,30,340.42
1996,1,29,333.49
1996,1,26,332.39
1996,1,25,335.4
1996,1,24,333.52
1996,1,23,330.58
1996,1,22,328.92
1996,1,19,332.1
1996,1,18,331.56
1996,1,17,330.19
1996,1,16,332.12
1996,1,15,329.04
1996,1,12,333.14
1996,1,11,331.35
1996,1,10,330.43
1996,1,9,338.95
1996,1,8,341.92
1996,1,5,344.76
1996,1,4,347.4
1996,1,3,348.94
1996,1,2,343.07
1995,12,29,337.96
1995,12,28,339.21
1995,12,27,338.92
1995,12,22,334.46
1995,12,21,329.35
1995,12,20,325.02
1995,12,19,318.23
1995,12,18,325.37
1995,12,15,328.89
1995,12,14,332.21
1995,12,13,335.39
1995,12,12,337.45
1995,12,11,338.01
1995,12,8,338.43
1995,12,7,340.84
1995,12,6,342.7
1995,12,5,341.31
1995,12,4,341.71
1995,12,1,344.04
1995,11,30,342.98
1995,11,29,342.29
1995,11,28,340.78
1995,11,27,345.93
1995,11,24,345.22
1995,11,23,342.73
1995,11,22,341.71
1995,11,21,342.06
1995,11,20,341.5
1995,11,17,336.44
1995,11,16,335.96
1995,11,15,334.39
1995,11,14,331.78
1995,11,13,334.42
1995,11,10,333.29
1995,11,9,336.63
1995,11,8,336.2
1995,11,7,337.86
1995,11,6,335.82
1995,11,3,340.48
1995,11,2,334.26
1995,11,1,335.09
1995,10,31,338.89
1995,10,30,341
1995,10,27,331.44
1995,10,26,336.45
1995,10,25,340.84
1995,10,24,343.74
1995,10,23,343.34
1995,10,20,348.95
1995,10,19,352.04
1995,10,18,356.27
1995,10,17,352.96
1995,10,16,355.69
1995,10,13,356.9
1995,10,12,354.88
1995,10,11,349.1
1995,10,10,343.71
1995,10,9,350.33
1995,10,6,355.53
1995,10,5,353.24
1995,10,4,357.65
1995,10,3,360.64
1995,10,2,362.79
1995,9,29,364.63
1995,9,28,358.27
1995,9,27,356.96
1995,9,26,361.13
1995,9,25,359.58
1995,9,22,360.59
1995,9,21,366.31
1995,9,20,366.35
1995,9,19,369.46
1995,9,18,362.62
1995,9,15,365.65
1995,9,14,364.52
1995,9,13,364.24
1995,9,12,361.65
1995,9,11,362.55
1995,9,8,359.9
1995,9,7,357.18
1995,9,6,352.64
1995,9,5,348.24
1995,9,4,343.82
1995,9,1,339.89
1995,8,31,339.88
1995,8,30,340.31
1995,8,29,341.67
1995,8,28,345.64
1995,8,25,344.72
1995,8,24,344.34
1995,8,23,346.07
1995,8,22,345.59
1995,8,21,346.57
1995,8,18,342.32
1995,8,17,339.41
1995,8,16,338.25
1995,8,15,339.02
1995,8,14,333.9
1995,8,11,335.51
1995,8,10,334.59
1995,8,9,329.01
1995,8,8,332.78
1995,8,7,334.28
1995,8,4,335.76
1995,8,3,333.62
1995,8,2,339.19
1995,8,1,332.39
1995,7,31,336.54
1995,7,28,341.93
1995,7,27,343.13
1995,7,26,339.51
1995,7,25,336.75
1995,7,24,334.51
1995,7,21,333.14
1995,7,20,334.82
1995,7,19,336.89
1995,7,18,336.54
1995,7,17,341.51
1995,7,14,338.11
1995,7,13,341.48
1995,7,12,342.94
1995,7,11,340.36
1995,7,10,341.1
1995,7,7,337.5
1995,7,6,331.09
1995,7,5,329.81
1995,7,4,328.07
1995,7,3,325.43
1995,6,30,322.47
1995,6,29,321.81
1995,6,28,317.74
1995,6,27,320.34
1995,6,26,321.46
1995,6,22,321.97
