1992,3,31,181.74,4.3882825962,A
1992,4,30,179.16,-1.4196104325,A
1992,11,30,177.09,30.1366843034,A
1992,12,30,179.63,1.434298944,A
1993,1,29,174.12,-3.0674163558,A
1993,2,26,194,11.4174132782,A
1993,3,31,191.72,-1.175257732,A
1993,4,30,199.35,3.9797621531,A
1993,11,30,253.88,-8.823846292,A
1993,12,30,274.98,8.311013077,A
1994,1,31,308.33,12.1281547749,A
1994,2,28,294.38,-4.5243732365,A
1994,3,31,267.68,-9.0699096406,A
1994,4,29,283.33,5.8465331739,A
1994,11,30,293.77,1.6645902547,A
1994,12,30,284.4,-3.1895700718,A
1995,1,31,287.99,1.2623066104,A
1995,2,28,288.01,0.0069446856,A
1995,3,31,283.26,-1.64924829,A
1995,4,28,304.77,7.5937301419,A
1995,11,30,342.98,1.2068812889,A
1995,12,29,337.96,-1.4636421949,A
1996,1,31,343.82,1.7339330098,A
1996,2,29,368.95,7.3090570647,A
1996,3,29,374.12,1.4012738854,A
1996,4,30,376.81,0.7190206351,A
1996,11,29,451.84,8.4954137252,A
1996,12,30,469.29,3.8619865439,A
1997,1,31,502.59,7.0958256089,A
1997,2,28,520.77,3.6172625798,A
1997,3,27,546.02,4.8485895885,A
1997,4,30,520.43,-4.686641515,A
1997,11,28,609.1,5.8402404907,A
1997,12,30,599.71,-1.5416187818,A
1998,1,30,627.14,4.5738773741,A
1998,2,27,683.34,8.9613164525,A
1998,3,31,725.23,6.1301840958,A
1998,4,30,737.02,1.62569116,A
1998,11,30,709.27,13.5886102303,A
1998,12,30,701.31,-1.1222806548,A
1999,1,29,722.37,3.0029516191,A
1999,2,26,732.73,1.4341680856,A
1999,3,31,742.87,1.3838658169,A
1999,4,30,776.95,4.5876129067,A
1999,11,30,1030.97,11.6977248104,A
1999,12,30,1198.97,16.2953335209,A
2000,1,31,1220.23,1.7731886536,A
2000,2,29,1433.08,17.4434327955,A
2000,3,31,1383.66,-3.448516482,A
2000,4,28,1429.61,3.3209025339,A
